customer_id,coupon_code,city
7066,SAVE10,TORONTO
8020,SAVE10,Vancouver
8392,,Vancouver
3133,BLACKFRIDAY50,OTTAWA
6015,HOLIDAY25,TORONTO
1064,HOLIDAY25,Edmonton
5588,,TORONTO
9702,BLACKFRIDAY50,Montreal
1585,BLACKFRIDAY50,Edmonton
7387,HOLIDAY25,CALGARY
6643,WELCOME5,Montreal
5749,BLACKFRIDAY50,Montreal
7996,,Vancouver
3638,,CALGARY
9639,BLACKFRIDAY50,
8147,WELCOME5,Vancouver
9090,,
6167,HOLIDAY25,Vancouver
7495,HOLIDAY25,OTTAWA
8861,WELCOME5,Montreal
1104,SAVE10,OTTAWA
9141,WELCOME5,
4575,HOLIDAY25,Montreal
9423,HOLIDAY25,
1171,BLACKFRIDAY50,CALGARY
5346,WELCOME5,TORONTO
3232,HOLIDAY25,Montreal
1415,,CALGARY
7083,BLACKFRIDAY50,Edmonton
9545,BLACKFRIDAY50,TORONTO
2197,BLACKFRIDAY50,Montreal
9426,HOLIDAY25,Vancouver
3306,,Vancouver
8524,HOLIDAY25,TORONTO
5272,WELCOME5,
6071,WELCOME5,Edmonton
5065,BLACKFRIDAY50,OTTAWA
2375,WELCOME5,TORONTO
2098,SAVE10,CALGARY
1850,,OTTAWA
4997,,TORONTO
8556,HOLIDAY25,Edmonton
2624,SAVE10,Montreal
8394,BLACKFRIDAY50,OTTAWA
1957,,CALGARY
9293,SAVE10,Edmonton
9852,HOLIDAY25,Montreal
5070,,CALGARY
5531,BLACKFRIDAY50,OTTAWA
1186,,Edmonton
3996,,Vancouver
3515,,Edmonton
7202,,CALGARY
6143,BLACKFRIDAY50,Montreal
1712,WELCOME5,Montreal
6608,WELCOME5,OTTAWA
8617,BLACKFRIDAY50,Montreal
2382,WELCOME5,CALGARY
3218,BLACKFRIDAY50,Vancouver
7921,HOLIDAY25,TORONTO
5120,,TORONTO
2475,HOLIDAY25,CALGARY
6781,SAVE10,TORONTO
6150,HOLIDAY25,OTTAWA
4402,HOLIDAY25,TORONTO
6561,SAVE10,Edmonton
2840,WELCOME5,OTTAWA
5174,,
4327,SAVE10,Montreal
5720,HOLIDAY25,Montreal
8169,,
7584,BLACKFRIDAY50,CALGARY
8242,WELCOME5,OTTAWA
1769,,CALGARY
3454,,Montreal
3960,SAVE10,Edmonton
3329,WELCOME5,TORONTO
4335,BLACKFRIDAY50,OTTAWA
4343,WELCOME5,Vancouver
5546,SAVE10,CALGARY
8981,SAVE10,OTTAWA
6384,,
1279,WELCOME5,CALGARY
6187,,TORONTO
2862,BLACKFRIDAY50,
5184,BLACKFRIDAY50,Edmonton
1855,WELCOME5,TORONTO
4017,,Montreal
6441,,Edmonton
9587,SAVE10,
8190,SAVE10,Vancouver
7557,,
3824,WELCOME5,Edmonton
4280,WELCOME5,
3566,BLACKFRIDAY50,OTTAWA
9743,WELCOME5,OTTAWA
1690,WELCOME5,CALGARY
9802,SAVE10,
1376,SAVE10,OTTAWA
8989,SAVE10,
1602,HOLIDAY25,Vancouver
9607,WELCOME5,OTTAWA
2428,BLACKFRIDAY50,
8321,SAVE10,OTTAWA
3375,BLACKFRIDAY50,
6177,WELCOME5,Montreal
9373,SAVE10,OTTAWA
7132,SAVE10,Montreal
6975,WELCOME5,CALGARY
3609,WELCOME5,TORONTO
3620,HOLIDAY25,
5019,HOLIDAY25,Vancouver
9939,BLACKFRIDAY50,TORONTO
5053,BLACKFRIDAY50,TORONTO
9196,WELCOME5,Montreal
7383,HOLIDAY25,Edmonton
6695,WELCOME5,TORONTO
7501,WELCOME5,
4985,BLACKFRIDAY50,Montreal
3279,SAVE10,Montreal
4088,,TORONTO
6630,BLACKFRIDAY50,OTTAWA
4227,,CALGARY
9646,SAVE10,TORONTO
2579,HOLIDAY25,Vancouver
9992,,Edmonton
7093,HOLIDAY25,Edmonton
1339,WELCOME5,Montreal
7205,WELCOME5,CALGARY
7485,BLACKFRIDAY50,Montreal
4005,SAVE10,Vancouver
9394,,
7643,WELCOME5,TORONTO
1735,SAVE10,
5276,WELCOME5,Montreal
2006,SAVE10,Vancouver
1690,SAVE10,CALGARY
1907,BLACKFRIDAY50,CALGARY
3206,SAVE10,TORONTO
5546,BLACKFRIDAY50,Edmonton
2769,SAVE10,TORONTO
4018,SAVE10,Edmonton
2602,BLACKFRIDAY50,CALGARY
7133,WELCOME5,Vancouver
7554,WELCOME5,
6981,WELCOME5,
2635,BLACKFRIDAY50,CALGARY
7174,SAVE10,Montreal
4135,SAVE10,Vancouver
4769,,OTTAWA
8527,,Vancouver
3796,BLACKFRIDAY50,Montreal
7988,SAVE10,TORONTO
8039,,
7481,BLACKFRIDAY50,CALGARY
8042,,
3694,HOLIDAY25,CALGARY
3315,HOLIDAY25,TORONTO
2343,WELCOME5,
2788,WELCOME5,
9087,WELCOME5,CALGARY
5452,SAVE10,Montreal
2359,,OTTAWA
1477,SAVE10,CALGARY
1334,,Vancouver
1629,HOLIDAY25,TORONTO
8671,SAVE10,OTTAWA
8016,,Edmonton
6804,HOLIDAY25,
2119,WELCOME5,CALGARY
5062,SAVE10,Edmonton
9733,WELCOME5,OTTAWA
6142,,OTTAWA
1277,,
3665,,Vancouver
8823,,TORONTO
4531,SAVE10,Vancouver
7163,WELCOME5,OTTAWA
1843,WELCOME5,Edmonton
4486,,Vancouver
4714,BLACKFRIDAY50,Edmonton
9624,WELCOME5,
8425,HOLIDAY25,
2289,,Montreal
2199,,
3899,SAVE10,CALGARY
3768,HOLIDAY25,Edmonton
5515,HOLIDAY25,CALGARY
7310,BLACKFRIDAY50,TORONTO
7921,,Montreal
5501,BLACKFRIDAY50,Montreal
4969,,CALGARY
3281,WELCOME5,Montreal
2149,BLACKFRIDAY50,TORONTO
5882,WELCOME5,TORONTO
9254,BLACKFRIDAY50,
1650,HOLIDAY25,Montreal
8143,BLACKFRIDAY50,Montreal
8135,HOLIDAY25,Montreal
2943,SAVE10,Montreal
7293,WELCOME5,TORONTO
3544,,Edmonton
1951,BLACKFRIDAY50,Montreal
9749,BLACKFRIDAY50,CALGARY
7686,,OTTAWA
3076,WELCOME5,CALGARY
6550,SAVE10,
4945,HOLIDAY25,
8282,HOLIDAY25,TORONTO
5022,SAVE10,Vancouver
2576,BLACKFRIDAY50,OTTAWA
1111,WELCOME5,OTTAWA
7793,HOLIDAY25,Edmonton
2008,HOLIDAY25,Vancouver
1327,,TORONTO
4426,HOLIDAY25,
9516,BLACKFRIDAY50,OTTAWA
9789,,Montreal
3232,,Vancouver
2640,WELCOME5,Vancouver
8902,SAVE10,OTTAWA
8592,HOLIDAY25,Montreal
1119,,CALGARY
5802,WELCOME5,
4269,WELCOME5,Edmonton
5746,WELCOME5,Montreal
7316,HOLIDAY25,CALGARY
4835,WELCOME5,Edmonton
2630,SAVE10,Montreal
8871,WELCOME5,Vancouver
5050,HOLIDAY25,OTTAWA
5417,WELCOME5,Vancouver
9418,WELCOME5,OTTAWA
8880,HOLIDAY25,CALGARY
8349,,Montreal
8209,SAVE10,
5202,SAVE10,Vancouver
2789,WELCOME5,TORONTO
9248,HOLIDAY25,Vancouver
4357,SAVE10,OTTAWA
2986,SAVE10,OTTAWA
7064,HOLIDAY25,Montreal
9730,,Vancouver
4805,SAVE10,CALGARY
7285,WELCOME5,Vancouver
4870,WELCOME5,
7380,BLACKFRIDAY50,CALGARY
7492,,CALGARY
7695,WELCOME5,CALGARY
8691,SAVE10,TORONTO
9079,HOLIDAY25,Edmonton
2777,BLACKFRIDAY50,
3795,HOLIDAY25,
2185,HOLIDAY25,CALGARY
1153,BLACKFRIDAY50,TORONTO
1285,BLACKFRIDAY50,Montreal
8431,,Montreal
7977,BLACKFRIDAY50,CALGARY
5618,BLACKFRIDAY50,OTTAWA
3539,SAVE10,Vancouver
2002,HOLIDAY25,Montreal
7688,HOLIDAY25,Montreal
5532,BLACKFRIDAY50,Montreal
1447,HOLIDAY25,OTTAWA
8707,WELCOME5,CALGARY
2768,SAVE10,CALGARY
8953,BLACKFRIDAY50,CALGARY
7099,BLACKFRIDAY50,
1192,BLACKFRIDAY50,TORONTO
8686,SAVE10,Vancouver
1683,SAVE10,Vancouver
2687,SAVE10,OTTAWA
9387,BLACKFRIDAY50,Montreal
4807,HOLIDAY25,
8894,HOLIDAY25,Vancouver
8669,,Vancouver
5452,,
9297,BLACKFRIDAY50,CALGARY
3758,WELCOME5,Montreal
8988,BLACKFRIDAY50,Montreal
7005,WELCOME5,TORONTO
9524,WELCOME5,CALGARY
9636,WELCOME5,TORONTO
2215,WELCOME5,OTTAWA
2826,WELCOME5,OTTAWA
7373,WELCOME5,Montreal
1029,SAVE10,Vancouver
6071,BLACKFRIDAY50,CALGARY
1994,BLACKFRIDAY50,OTTAWA
8500,HOLIDAY25,CALGARY
3328,,Montreal
9757,,OTTAWA
4308,,Edmonton
2343,HOLIDAY25,TORONTO
5204,WELCOME5,Montreal
3296,SAVE10,Montreal
2267,,
4244,SAVE10,CALGARY
5895,,Edmonton
7689,,CALGARY
1928,SAVE10,Montreal
5924,BLACKFRIDAY50,OTTAWA
8759,BLACKFRIDAY50,TORONTO
7408,BLACKFRIDAY50,OTTAWA
2547,SAVE10,CALGARY
9904,SAVE10,Montreal
8875,HOLIDAY25,TORONTO
1002,WELCOME5,CALGARY
9830,WELCOME5,CALGARY
7924,SAVE10,TORONTO
4839,BLACKFRIDAY50,Edmonton
7263,WELCOME5,Vancouver
8026,HOLIDAY25,TORONTO
8235,BLACKFRIDAY50,TORONTO
3645,BLACKFRIDAY50,Edmonton
2054,SAVE10,
3808,,TORONTO
2795,SAVE10,TORONTO
2340,,OTTAWA
9168,,Edmonton
3357,HOLIDAY25,TORONTO
8991,WELCOME5,
5728,,Vancouver
4161,HOLIDAY25,Vancouver
7228,HOLIDAY25,OTTAWA
5823,BLACKFRIDAY50,
3331,HOLIDAY25,Vancouver
2191,,Vancouver
5447,BLACKFRIDAY50,TORONTO
9843,WELCOME5,Edmonton
9588,BLACKFRIDAY50,Vancouver
6349,BLACKFRIDAY50,
5407,BLACKFRIDAY50,OTTAWA
3587,HOLIDAY25,Vancouver
7775,SAVE10,OTTAWA
2010,SAVE10,OTTAWA
5472,SAVE10,
3811,HOLIDAY25,Edmonton
7925,SAVE10,CALGARY
2786,SAVE10,Montreal
9850,SAVE10,Montreal
5756,HOLIDAY25,OTTAWA
1055,WELCOME5,TORONTO
1790,BLACKFRIDAY50,TORONTO
1007,HOLIDAY25,
1732,,Edmonton
4941,HOLIDAY25,Edmonton
4929,BLACKFRIDAY50,CALGARY
1198,WELCOME5,Vancouver
9439,HOLIDAY25,
4679,HOLIDAY25,Montreal
6946,SAVE10,Edmonton
9296,WELCOME5,TORONTO
1338,SAVE10,OTTAWA
9724,,Vancouver
8729,BLACKFRIDAY50,OTTAWA
5875,WELCOME5,CALGARY
9756,,Edmonton
2495,SAVE10,
1254,BLACKFRIDAY50,Edmonton
9482,SAVE10,Montreal
9179,BLACKFRIDAY50,CALGARY
4229,SAVE10,Edmonton
6368,BLACKFRIDAY50,TORONTO
4740,HOLIDAY25,Vancouver
6451,SAVE10,Vancouver
1114,HOLIDAY25,OTTAWA
6345,BLACKFRIDAY50,OTTAWA
2706,SAVE10,Montreal
9015,,Montreal
3666,SAVE10,TORONTO
5742,SAVE10,TORONTO
2728,SAVE10,
5318,BLACKFRIDAY50,Vancouver
5434,BLACKFRIDAY50,Montreal
8867,BLACKFRIDAY50,
3290,WELCOME5,Vancouver
6313,BLACKFRIDAY50,CALGARY
5057,SAVE10,CALGARY
5254,HOLIDAY25,TORONTO
7962,,
6235,WELCOME5,CALGARY
8509,,CALGARY
3283,BLACKFRIDAY50,Edmonton
3467,,OTTAWA
4618,WELCOME5,CALGARY
5219,SAVE10,TORONTO
7529,HOLIDAY25,CALGARY
8614,,Edmonton
1286,HOLIDAY25,Montreal
7812,WELCOME5,Edmonton
6735,SAVE10,Edmonton
9865,BLACKFRIDAY50,TORONTO
7602,,TORONTO
8293,BLACKFRIDAY50,Edmonton
3473,HOLIDAY25,Vancouver
3906,BLACKFRIDAY50,
6266,,Montreal
9067,WELCOME5,Edmonton
7636,BLACKFRIDAY50,TORONTO
8692,SAVE10,TORONTO
9966,WELCOME5,
6170,SAVE10,Montreal
9181,,Montreal
5134,HOLIDAY25,
2197,,
5051,BLACKFRIDAY50,OTTAWA
2390,WELCOME5,Montreal
2998,BLACKFRIDAY50,Montreal
2688,,
8337,HOLIDAY25,Montreal
5143,WELCOME5,CALGARY
2291,BLACKFRIDAY50,Montreal
3124,SAVE10,Edmonton
5036,BLACKFRIDAY50,
1815,BLACKFRIDAY50,OTTAWA
9658,HOLIDAY25,
4344,BLACKFRIDAY50,Edmonton
7579,WELCOME5,TORONTO
6574,SAVE10,Vancouver
6801,,Edmonton
2092,SAVE10,OTTAWA
6103,BLACKFRIDAY50,Edmonton
7166,,Montreal
9630,SAVE10,OTTAWA
8311,HOLIDAY25,CALGARY
2943,BLACKFRIDAY50,TORONTO
1601,SAVE10,Vancouver
6372,,Edmonton
1512,BLACKFRIDAY50,OTTAWA
2833,SAVE10,OTTAWA
6674,BLACKFRIDAY50,Montreal
